Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
626,All American,2000,7.6,"8,663","Drama, Sport",45 ,Series,Mild,Moderate,Mild,Moderate,Mild
627,The Americans,2000,8.4,"91,114","Crime, Drama, Mystery",44 ,Series,Moderate,Moderate,Mild,Mild,Moderate
628,3%,2000,7.4,"23,644","Action, Drama, Sci-Fi",49 ,Series,Mild,Moderate,Moderate,Mild,Moderate
629,Unforgotten,2000,8.3,"19,048","Crime, Drama, Mystery",45 ,Series,Mild,Moderate,Moderate,Mild,Moderate
630,The Haunted Mansion,2003,5.1,"46,587","Comedy, Family, Fantasy",99 ,Film,None,Mild,Mild,Mild,Moderate
631,American Beauty,1999,8.3,"1,106,814",Drama,122 ,Film,Severe,Moderate,Severe,Moderate,Moderate
632,Halloween II,2009,4.8,"51,201",Horror,105 ,Film,Severe,Severe,Severe,Moderate,Severe
633,Legally Blonde,2001,6.4,"200,635","Comedy, Romance",96 ,Film,Mild,Mild,Mild,None,None
634,Gossip Girl,2001,5.3,"6,507","Drama, Romance",60 ,Series,Moderate,None,Mild,Moderate,None
635,Ex Machina,2014,7.7,"503,935","Drama, Sci-Fi, Thriller",108 ,Film,Moderate,Moderate,Moderate,Moderate,Moderate
636,Last Man Standing,2014,7.5,"31,648",Comedy,30 ,Series,None,None,Mild,Mild,No Rate
637,Narcos México,2014,8.4,"66,885","Crime, Drama",50 ,Series,Severe,Severe,Severe,Severe,Severe
638,Love Death  Robots,2014,8.5,"124,835","Animation, Short, Action",15 ,Series,Severe,Severe,Severe,Moderate,Moderate
639,Harry Potter and the Chamber of Secrets,2002,7.4,"584,281","Adventure, Family, Fantasy",161 ,Film,None,Mild,Mild,None,Moderate
640,Mythic Quest Ravens Banquet,2002,7.7,"17,366",Comedy,30 ,Series,Mild,Mild,Severe,Mild,None
641,Saw,2004,7.6,"398,328","Horror, Mystery, Thriller",103 ,Film,Mild,Severe,Severe,Mild,Severe
642,Good Will Hunting,1997,8.3,"903,784","Drama, Romance",126 ,Film,Mild,Mild,Severe,Mild,Mild
643,Halloween Resurrection,2002,4.0,"40,340","Horror, Thriller",94 ,Film,Mild,Severe,Severe,Mild,Moderate
644,Psycho,1960,8.5,"632,885","Horror, Mystery, Thriller",109 ,Film,Mild,Moderate,None,None,Moderate
645,Doogie Kamealoha MD,1960,5.8,"1,023","Comedy, Drama, Family",30 ,Series,No Rate,No Rate,No Rate,No Rate,No Rate
646,Hacksaw Ridge,2016,8.1,"470,213","Biography, Drama, History",139 ,Film,Mild,Severe,Mild,Mild,Severe
647,The Revenant,2015,8.0,"745,279","Action, Adventure, Drama",156 ,Film,Mild,Severe,Moderate,Mild,Severe
648,Fear Street 1978,2021,6.7,"50,405","Drama, Horror, Mystery",109 ,Film,Moderate,Severe,Moderate,Moderate,Severe
649,Coraline,2009,7.7,"209,543","Animation, Drama, Family",100 ,Film,Mild,Mild,Mild,None,Moderate
650,Vivo,2021,6.7,"13,103","Animation, Adventure, Comedy",95 ,Film,None,None,None,None,None
651,The Nevers,2021,7.4,"17,975","Action, Drama, Fantasy",58 ,Series,Moderate,Moderate,Moderate,Mild,Moderate
652,The Conners,2021,5.3,"9,265",Comedy,30 ,Series,Mild,None,Mild,Mild,Mild
